I0313 04:49:29.215764       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:29.839482       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:49:34.163939       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:41.783641       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:49:41.795720       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
I0313 04:49:44.165292       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:44.847520       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:49:54.162140       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:56.791029       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:49:56.803899       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:49:59.855585       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:50:04.162898       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:11.779697       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:50:11.793878       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
I0313 04:50:14.165352       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:50:14.831924       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
